"Delay (s)";"Crosscorrelation (a.u.)";"Normalized CC (a.u.)";"Crosscorrelation history 1 (a.u.)";"Normalized CC history 1 (a.u.)";"Crosscorrelation history 2 (a.u.)";"Normalized CC history 2 (a.u.)";"Crosscorrelation history 3 (a.u.)";"Normalized CC history 3 (a.u.)";"Crosscorrelation history 4 (a.u.)";"Normalized CC history 4 (a.u.)";"Crosscorrelation history 5 (a.u.)";"Normalized CC history 5 (a.u.)"
4.187500000E-3;NaN;1.522273547E-4;2.373425114E-7;1.202771188E-3;1.910576725E-7;9.682153544E-4;1.321726070E-8;6.698058543E-5;3.217975152E-7;1.630760446E-3;1.504011466E-7;7.621818979E-4
4.208333333E-3;NaN;1.537458226E-4;2.303337814E-7;1.178896679E-3;2.651117355E-7;1.356897554E-3;1.236030649E-8;6.326264514E-5;3.954710790E-7;2.024104059E-3;2.078652191E-7;1.063897858E-3
4.229166667E-3;NaN;1.552718264E-4;2.083550495E-7;1.076989511E-3;3.460646746E-7;1.788812058E-3;1.185328944E-8;6.126978174E-5;4.883793207E-7;2.524438008E-3;2.735024360E-7;1.413737059E-3
4.250000000E-3;NaN;1.568053660E-4;1.790320372E-7;9.345584237E-4;4.209891046E-7;2.197589438E-3;1.193710035E-8;6.231240987E-5;5.803222088E-7;3.029318200E-3;3.396324747E-7;1.772902745E-3
4.270833333E-3;NaN;1.583464414E-4;1.520531740E-7;8.015277823E-4;4.761647651E-7;2.510038285E-3;1.276831497E-8;6.730644888E-5;6.490400480E-7;3.421327004E-3;3.975226174E-7;2.095486819E-3
4.291666667E-3;NaN;1.598950527E-4;1.364615239E-7;7.263735567E-4;5.026938252E-7;2.675798213E-3;1.444941718E-8;7.691306863E-5;6.768371549E-7;3.602748947E-3;4.416095611E-7;2.350651660E-3
4.312500000E-3;NaN;1.614511997E-4;1.384679471E-7;7.442268125E-4;5.008677980E-7;2.692025502E-3;1.706282741E-8;9.170796508E-5;6.561477097E-7;3.526611961E-3;4.735346237E-7;2.545117271E-3
4.333333333E-3;NaN;1.630148826E-4;1.599978396E-7;8.682727206E-4;4.804224896E-7;2.607146091E-3;2.067611604E-8;1.122046870E-4;5.917781826E-7;3.211448691E-3;5.029826536E-7;2.729575087E-3
4.354166667E-3;NaN;1.645861013E-4;1.980527366E-7;1.085147534E-3;4.559675573E-7;2.498284442E-3;2.525872291E-8;1.383946587E-4;4.988158799E-7;2.733053990E-3;5.436115948E-7;2.978493465E-3
4.375000000E-3;NaN;1.661648558E-4;2.452890210E-7;1.356850714E-3;4.398065223E-7;2.432851626E-3;3.050440787E-8;1.687394218E-4;3.971565766E-7;2.196927453E-3;6.052067139E-7;3.347786045E-3
4.395833333E-3;NaN;1.677511462E-4;2.922879635E-7;1.632267036E-3;4.361448461E-7;2.435628366E-3;3.569145085E-8;1.993170638E-4;3.052428039E-7;1.704612673E-3;6.861159195E-7;3.831578915E-3
4.416666667E-3;NaN;1.693449724E-4;3.311842379E-7;1.867053441E-3;4.401065080E-7;2.481103495E-3;3.977890805E-8;2.242538704E-4;2.358923839E-7;1.329844953E-3;7.708363852E-7;4.345595474E-3
4.437500000E-3;NaN;1.709463343E-4;3.589605313E-7;2.042778481E-3;4.420853679E-7;2.515826665E-3;4.177357476E-8;2.377257446E-4;1.956755410E-7;1.113553579E-3;8.351581179E-7;4.752731519E-3
4.458333333E-3;NaN;1.725552322E-4;3.782331765E-7;2.172713860E-3;4.346096941E-7;2.496561816E-3;4.118413468E-8;2.365771852E-4;1.870419609E-7;1.074439489E-3;8.567869366E-7;4.921706946E-3
4.479166667E-3;NaN;1.741716658E-4;3.945583881E-7;2.287723685E-3;4.173666256E-7;2.419970133E-3;3.829861433E-8;2.220625635E-4;2.108331308E-7;1.222450115E-3;8.258556950E-7;4.788466526E-3
4.500000000E-3;NaN;1.757956352E-4;4.116802603E-7;2.409255803E-3;3.973155190E-7;2.325189746E-3;3.414549504E-8;1.998279733E-4;2.669446646E-7;1.562226914E-3;7.495393062E-7;4.386491405E-3
4.520833333E-3;NaN;1.774271405E-4;4.279761077E-7;2.527867815E-3;3.839645500E-7;2.267910779E-3;3.013707477E-8;1.780065288E-4;3.525602716E-7;2.082419432E-3;6.482906509E-7;3.829169529E-3
4.541666667E-3;NaN;1.790661816E-4;4.368422272E-7;2.604071880E-3;3.829412047E-7;2.282761054E-3;2.753559907E-8;1.641431958E-4;4.592847927E-7;2.737854857E-3;5.460343312E-7;3.254979850E-3
4.562500000E-3;NaN;1.807127585E-4;4.310342223E-7;2.593076625E-3;3.919533396E-7;2.357968325E-3;2.697164526E-8;1.622598375E-4;5.715885127E-7;3.438643001E-3;4.599565043E-7;2.767071379E-3
4.583333333E-3;NaN;1.823668713E-4;4.080823297E-7;2.477470658E-3;4.015037162E-7;2.437531849E-3;2.823133351E-8;1.713926218E-4;6.685479366E-7;4.058759166E-3;3.952174577E-7;2.399367930E-3
4.604166667E-3;NaN;1.840285198E-4;3.729496740E-7;2.284810296E-3;3.996461551E-7;2.448361572E-3;3.039316271E-8;1.861983424E-4;7.290556661E-7;4.466430751E-3;3.464877370E-7;2.122695914E-3
