"Speed of sound (m/s)";"Crosscorrelation (a.u.)";"Normalized CC (a.u.)";"Crosscorrelation history 1 (a.u.)";"Normalized CC history 1 (a.u.)";"Crosscorrelation history 2 (a.u.)";"Normalized CC history 2 (a.u.)";"Crosscorrelation history 3 (a.u.)";"Normalized CC history 3 (a.u.)";"Crosscorrelation history 4 (a.u.)";"Normalized CC history 4 (a.u.)";"Crosscorrelation history 5 (a.u.)";"Normalized CC history 5 (a.u.)"
5.363128492E2;5.172070921E-6;2.078671690E-2;1.682760293E-5;6.763066935E-2;5.989954058E-6;2.407381514E-2;4.382382397E-6;1.761293370E-2;4.984550899E-5;2.003306799E-1;1.147471233E-6;4.611723242E-3
5.333333333E2;5.728030546E-6;2.327907414E-2;1.409077913E-5;5.726580706E-2;6.789520074E-6;2.759303393E-2;4.287224177E-6;1.742354701E-2;5.074414711E-5;2.062273854E-1;1.187158580E-6;4.824686666E-3
5.303867403E2;6.037259449E-6;2.480917700E-2;1.119504971E-5;4.600431242E-2;7.167220349E-6;2.945257526E-2;4.279580832E-6;1.758627060E-2;5.212117339E-5;2.141838407E-1;1.239383476E-6;5.093053281E-3
5.274725275E2;6.081848719E-6;2.526933176E-2;8.450363940E-6;3.511022054E-2;7.025784717E-6;2.919126947E-2;4.274136339E-6;1.775850964E-2;5.412701276E-5;2.248910661E-1;1.277000492E-6;5.305779638E-3
5.245901639E2;5.915562870E-6;2.484926925E-2;6.119244538E-6;2.570486672E-2;6.414842605E-6;2.694657374E-2;4.207102101E-6;1.767260617E-2;5.598265851E-5;2.351641230E-1;1.280082057E-6;5.377189694E-3
5.217391304E2;5.612035552E-6;2.383260020E-2;4.343795554E-6;1.844677245E-2;5.503234914E-6;2.337055714E-2;4.059472810E-6;1.723934063E-2;5.635669930E-5;2.393296818E-1;1.245235313E-6;5.288133884E-3
5.189189189E2;5.215086463E-6;2.238825980E-2;3.126486174E-6;1.342194137E-2;4.500492834E-6;1.932052393E-2;3.863773293E-6;1.658709993E-2;5.412265005E-5;2.323474326E-1;1.185073393E-6;5.087495900E-3
5.161290323E2;4.728367182E-6;2.051882327E-2;2.363724597E-6;1.025741982E-2;3.579155126E-6;1.553179959E-2;3.696764210E-6;1.604216605E-2;4.900904018E-5;2.126754956E-1;1.117961174E-6;4.851409984E-3
5.133689840E2;4.144803286E-6;1.818036109E-2;1.909589444E-6;8.376036984E-3;2.836342053E-6;1.244105429E-2;3.665538353E-6;1.607816010E-2;4.175038162E-5;1.831298040E-1;1.054864155E-6;4.626953299E-3
5.106382979E2;3.483528940E-6;1.544366916E-2;1.638576619E-6;7.264367724E-3;2.297596131E-6;1.018602547E-2;3.894095525E-6;1.726385053E-2;3.370262385E-5;1.494151998E-1;9.926592644E-7;4.400796299E-3
5.079365079E2;2.802280770E-6;1.255598022E-2;1.483390322E-6;6.646521556E-3;1.943865922E-6;8.709741839E-3;4.511029295E-6;2.021224825E-2;2.620917979E-5;1.174336086E-1;9.182975833E-7;4.114550696E-3
5.052631579E2;2.178268234E-6;9.863565391E-3;1.440925905E-6;6.524755153E-3;1.739449836E-6;7.876521787E-3;5.634701052E-6;2.551487526E-2;2.009385467E-5;9.098835781E-2;8.201074410E-7;3.713584601E-3
5.026178010E2;1.673384882E-6;7.657340222E-3;1.555544113E-6;7.118105721E-3;1.645997479E-6;7.532016596E-3;7.352077689E-6;3.364280436E-2;1.551467397E-5;7.099450840E-2;6.978618938E-7;3.193387251E-3
5.000000000E2;1.307990229E-6;6.048146820E-3;1.895753601E-6;8.765964650E-3;1.621956465E-6;7.499926692E-3;9.692251389E-6;4.481697042E-2;1.216912229E-5;5.627002145E-2;5.653586018E-7;2.614218175E-3
4.974093264E2;1.060101845E-6;4.953105478E-3;2.538420065E-6;1.186024002E-2;1.621107873E-6;7.574289508E-3;1.260346308E-5;5.888706099E-2;9.638061955E-6;4.503184074E-2;4.456550342E-7;2.082230496E-3
4.948453608E2;8.877172815E-7;4.190766874E-3;3.564271516E-6;1.682633797E-2;1.601829032E-6;7.561970672E-3;1.594627739E-5;7.527974554E-2;7.629655301E-6;3.601834431E-2;3.641851719E-7;1.719258131E-3
