"Speed of sound (m/s)";"Crosscorrelation (a.u.)";"Normalized CC (a.u.)";"Crosscorrelation history 1 (a.u.)";"Normalized CC history 1 (a.u.)";"Crosscorrelation history 2 (a.u.)";"Normalized CC history 2 (a.u.)";"Crosscorrelation history 3 (a.u.)";"Normalized CC history 3 (a.u.)";"Crosscorrelation history 4 (a.u.)";"Normalized CC history 4 (a.u.)";"Crosscorrelation history 5 (a.u.)";"Normalized CC history 5 (a.u.)"
7.973421927E1;NaN;1.231652865E-3;4.425124117E-9;8.046255116E-4;9.279053082E-9;1.687221112E-3;NaN;1.059482032E-2;1.768166046E-7;3.215077072E-2;1.403893750E-7;2.552716481E-2
7.966804979E1;NaN;1.233699650E-3;3.399536045E-9;6.191688686E-4;6.162382476E-9;1.122375329E-3;NaN;1.061242700E-2;1.817060783E-7;3.309473570E-2;1.501865197E-7;2.735397309E-2
7.960199005E1;NaN;1.235748134E-3;2.902331562E-9;5.294890806E-4;3.920282938E-9;7.151998192E-4;NaN;1.063004829E-2;1.801664308E-7;3.286880074E-2;1.587717656E-7;2.896564862E-2
7.953603977E1;NaN;1.237798317E-3;2.940658633E-9;5.373713651E-4;2.587379919E-9;4.728137648E-4;NaN;1.064768420E-2;1.753218770E-7;3.203804594E-2;1.647082290E-7;3.009852448E-2
7.947019868E1;NaN;1.239850200E-3;3.424588252E-9;6.268412950E-4;2.096802552E-9;3.838015931E-4;NaN;1.066533473E-2;1.713862696E-7;3.137077607E-2;1.654402522E-7;3.028240895E-2
7.940446650E1;NaN;1.241903781E-3;4.206573540E-9;7.712522704E-4;2.340616794E-9;4.291392981E-4;NaN;1.068299988E-2;1.713110570E-7;3.140894611E-2;1.583882154E-7;2.903961372E-2
7.933884298E1;NaN;1.243959062E-3;5.140999391E-9;9.441340509E-4;3.194352093E-9;5.866362457E-4;NaN;1.070067965E-2;1.750332107E-7;3.214449208E-2;1.425716204E-7;2.618298725E-2
7.927332783E1;NaN;1.246016043E-3;6.123945287E-9;1.126509753E-3;4.503235955E-9;8.283776205E-4;NaN;1.071837403E-2;1.792265154E-7;3.296901070E-2;1.195654351E-7;2.199425738E-2
7.920792079E1;NaN;1.248074722E-3;7.091074429E-9;1.306569908E-3;6.058406053E-9;1.116295015E-3;NaN;1.073608303E-2;1.788268018E-7;3.294983295E-2;9.309271643E-8;1.715285083E-2
7.914262160E1;NaN;1.250135101E-3;7.995731068E-9;1.475690047E-3;7.599101260E-9;1.402488153E-3;NaN;1.075380665E-2;1.697813368E-7;3.133479937E-2;6.755103577E-8;1.246720160E-2
7.907742998E1;NaN;1.252197179E-3;8.786938679E-9;1.624390112E-3;8.860272985E-9;1.637946997E-3;NaN;1.077154488E-2;1.515291517E-7;2.801231062E-2;4.641133108E-8;8.579792124E-3
7.901234568E1;NaN;1.254260957E-3;9.403903765E-9;1.741310024E-3;9.650672605E-9;1.787003925E-3;NaN;1.078929773E-2;1.275980047E-7;2.362717549E-2;3.134539218E-8;5.804190149E-3
7.894736842E1;NaN;1.256326434E-3;9.820301473E-9;1.821408413E-3;9.922170296E-9;1.840302409E-3;NaN;1.080706520E-2;1.039837757E-7;1.928626370E-2;2.237513937E-8;4.150001628E-3
7.888249795E1;NaN;1.258393610E-3;1.015121009E-8;1.885881241E-3;9.796331583E-9;1.819952281E-3;NaN;1.082484729E-2;8.669128681E-8;1.610541700E-2;1.868993842E-8;3.472197299E-3
