"Distance (cm)";"Crosscorrelation (a.u.)";"Normalized CC (a.u.)";"Crosscorrelation history 1 (a.u.)";"Normalized CC history 1 (a.u.)";"Crosscorrelation history 2 (a.u.)";"Normalized CC history 2 (a.u.)";"Crosscorrelation history 3 (a.u.)";"Normalized CC history 3 (a.u.)";"Crosscorrelation history 4 (a.u.)";"Normalized CC history 4 (a.u.)";"Crosscorrelation history 5 (a.u.)";"Normalized CC history 5 (a.u.)"
2.865208333E2;3.601110012E-8;2.956302021E-3;1.130972352E-6;9.284625679E-2;NaN;2.810094610E-1;NaN;2.535921035E-2;3.161504590E-6;2.595411519E-1;4.151948138E-7;3.408508107E-2
2.868750000E2;3.707264643E-8;3.050977431E-3;1.002469624E-6;8.250050891E-2;NaN;2.817045986E-1;NaN;2.542194183E-2;2.664552292E-6;2.192853678E-1;3.089643338E-7;2.542691985E-2
2.872291667E2;3.956137564E-8;3.263836997E-3;8.902932493E-7;7.344972206E-2;NaN;2.824005948E-1;NaN;2.548475080E-2;2.116633161E-6;1.746234935E-1;2.315099667E-7;1.909970981E-2
2.875833333E2;4.354728415E-8;3.601542149E-3;8.068834928E-7;6.673263247E-2;NaN;2.830974498E-1;NaN;2.554763727E-2;1.639419510E-6;1.355868358E-1;1.803811095E-7;1.491827060E-2
2.879375000E2;4.921699633E-8;4.080482924E-3;7.537093515E-7;6.248853786E-2;NaN;2.837951636E-1;NaN;2.561060123E-2;1.321587366E-6;1.095701705E-1;1.481647402E-7;1.228404286E-2
2.882916667E2;5.703074549E-8;4.739944170E-3;7.246023905E-7;6.022321552E-2;NaN;2.844937360E-1;NaN;2.567364269E-2;1.199952346E-6;9.973054148E-2;1.264101153E-7;1.050620826E-2
2.886458333E2;6.745752679E-8;5.620319439E-3;7.092819825E-7;5.909483349E-2;NaN;2.851931672E-1;NaN;2.573676164E-2;1.257111612E-6;1.047380354E-1;1.087559166E-7;9.061153309E-3
2.890000000E2;8.038127865E-8;6.713524774E-3;6.964043514E-7;5.816438783E-2;NaN;2.858934571E-1;NaN;2.579995808E-2;1.433155504E-6;1.196985809E-1;9.221784470E-8;7.702126607E-3
2.893541667E2;9.449222743E-8;7.911440526E-3;6.804309632E-7;5.696964972E-2;NaN;2.865946057E-1;NaN;2.586323202E-2;1.647699023E-6;1.379549745E-1;7.666765625E-8;6.419063442E-3
2.897083333E2;1.071159143E-7;8.990337059E-3;6.688694543E-7;5.613882759E-2;NaN;2.872966130E-1;NaN;2.592658345E-2;1.827374984E-6;1.533732606E-1;6.334566671E-8;5.316659984E-3
2.900625000E2;1.148703441E-7;9.664760439E-3;6.822812589E-7;5.740458924E-2;NaN;2.879994791E-1;NaN;2.599001238E-2;1.931461596E-6;1.625059433E-1;5.348330518E-8;4.499884945E-3
2.904166667E2;1.150112796E-7;9.700262973E-3;7.494380117E-7;6.320898108E-2;NaN;2.887032039E-1;NaN;2.605351880E-2;1.966337998E-6;1.658445654E-1;4.764713107E-8;4.018646719E-3
2.907708333E2;1.067387462E-7;9.024513094E-3;9.070268023E-7;7.668700958E-2;NaN;2.894077874E-1;NaN;2.611710272E-2;1.980906418E-6;1.674810370E-1;4.575096591E-8;3.868137912E-3
2.911250000E2;9.169288554E-8;7.771317330E-3;1.199330966E-6;1.016478156E-1;NaN;2.901132297E-1;NaN;2.618076413E-2;2.042418954E-6;1.731026973E-1;4.740361472E-8;4.017634852E-3
2.914791667E2;7.335713905E-8;6.232430207E-3;1.666073847E-6;1.415498083E-1;NaN;2.908195306E-1;NaN;2.624450303E-2;2.202211374E-6;1.871001087E-1;5.221428911E-8;4.436131464E-3
